"sid" "first.saccade.latency" "type"
"0304b" 0.297760009765625 "data"
"0304b" 0.296732902526855 "data"
"0304b" 0.304804086685181 "data"
"0304b" 0.307087898254395 "data"
"0304b" 0.271573066711426 "data"
"0304b" 0.263396978378296 "data"
"0304b" 0.276455879211426 "data"
"0304b" 0.2376868724823 "data"
"0304b" 0.272736072540283 "data"
"0304b" 0.00802707672119141 "data"
"0304b" 0.321419954299927 "data"
"0304b" 0.253041982650757 "data"
"0304b" 0.231026172637939 "data"
"0304b" 0.304271936416626 "data"
"0304b" 0.304627895355225 "data"
"0304b" 0.237520933151245 "data"
"0304b" 0.305979013442993 "data"
"0304b" 0.270826816558838 "data"
"0304b" 0.315983057022095 "data"
"0304b" 0.26054310798645 "data"
"0304b" 0.251407146453857 "data"
"0304b" 0.27153205871582 "data"
"0304b" 0.316114902496338 "data"
"0304b" 0.238359928131104 "data"
"0304b" 0.271636009216309 "data"
"0304b" 0.255631923675537 "data"
"0304b" 0.350021123886108 "data"
"0304b" 0.253091096878052 "data"
"0304b" 0.241662979125977 "data"
"0304b" 0.238312005996704 "data"
"0304b" 0.242439031600952 "data"
"0304b" 0.229232788085938 "data"
"0304b" 0.251219034194946 "data"
"0304b" 0.278596878051758 "data"
"0304b" 0.25246787071228 "data"
"0304b" 0.281522035598755 "data"
"0304b" 0.271566152572632 "data"
"0304b" 0.272674798965454 "data"
"0304b" 0.291123867034912 "data"
"0304b" 0.27118992805481 "data"
"0304b" 0.315263986587524 "data"
"0304b" 0.556772947311401 "data"
"0304b" 0.238353967666626 "data"
"0304b" 0.277846097946167 "data"
"0304b" 0.272156953811646 "data"
"0304b" 0.292917013168335 "data"
"0304b" 0.308960914611816 "data"
"0304b" 0.259879112243652 "data"
"0304b" 0.341815948486328 "data"
"0304b" 0.287267923355103 "data"
"0304b" 0.260771036148071 "data"
"0304b" 0.26061487197876 "data"
"0304b" 0.274441003799438 "data"
"0304b" 0.386523962020874 "data"
"0304b" 0.246482849121094 "data"
"0304b" 0.252424955368042 "data"
"0304b" 0.283293962478638 "data"
"0304b" 0.25542688369751 "data"
"0304b" 0.228391170501709 "data"
"0304b" 0.24525785446167 "data"
"0304b" 0.271741151809692 "data"
"0304b" 0.769134998321533 "data"
"0304b" 0.403450012207031 "data"
"0304b" 0.271168947219849 "data"
"0304b" 0.271588802337646 "data"
"0304b" 0.2219398021698 "data"
"0304b" 0.260179042816162 "data"
"0304b" 0.272023916244507 "data"
"0304b" 0.270303964614868 "data"
"0304b" 0.273115873336792 "data"
"0304b" 0.328960180282593 "data"
"0304b" 0.312566041946411 "data"
"0304b" 0.272123098373413 "data"
"0304b" 0.339200973510742 "data"
"0304b" 0.279728889465332 "data"
"0304b" 0.304929971694946 "data"
"0304b" 0.280344009399414 "data"
"0304b" 0.243204116821289 "data"
"0304b" 0.404751062393188 "data"
"0304b" 0.271030902862549 "data"
"0304b" 0.298771858215332 "data"
"0304b" 0.313561916351318 "data"
"0304b" 0.279291152954102 "data"
"0304b" 0.390835046768188 "data"
"0304b" 0.298341035842896 "data"
"0304b" 0.339585065841675 "data"
"0304b" 0.274091005325317 "data"
"0304b" 0.254140853881836 "data"
"0304b" 0.263159036636353 "data"
"0304b" 0.249395847320557 "data"
"0304b" 0.307088136672974 "data"
"0304b" 0.00734186172485352 "data"
"0304b" 0.325972080230713 "data"
"0304b" 0.344162225723267 "data"
"0304b" 0.292125940322876 "data"
"0304b" 0.248219966888428 "data"
"0304b" 0.274837970733643 "data"
"0304b" 0.250781059265137 "data"
"0304b" 0.252509832382202 "data"
"0304b" 0.306366920471191 "data"
"0304b" 0.26301097869873 "data"
"0304b" 0.252053022384644 "data"
"0304b" 0.337174892425537 "data"
"0304b" 0.25360894203186 "data"
"0304b" 0.306421995162964 "data"
"0304b" 0.338860988616943 "data"
"0304b" 0.305516958236694 "data"
"0304b" 0.304424047470093 "data"
"0304b" 0.271157026290894 "data"
"0304b" 0.221987009048462 "data"
"0304b" 0.315686225891113 "data"
"0304b" 0.244665861129761 "data"
"0304b" 0.313683986663818 "data"
"0304b" 0.282080888748169 "data"
"0304b" 0.303844928741455 "data"
"0304b" 0.274605989456177 "data"
"0304b" 0.237855911254883 "data"
"0304b" 0.254002094268799 "data"
"0304b" 0.411669969558716 "data"
"0304b" 0.290970087051392 "data"
"0304b" 0.270612955093384 "data"
"0304b" 0.249797105789185 "data"
"0304b" 0.251312971115112 "data"
"0304b" 0.271404027938843 "data"
"0304b" 0.294301986694336 "data"
"0304b" 0.189275026321411 "data"
"0304b" 0.290363073348999 "data"
"0304b" 0.319316864013672 "data"
"0304b" 0.241700887680054 "data"
"0304b" 0.237612962722778 "data"
"0304b" 0.250171899795532 "data"
"0304b" 0.0168731212615967 "data"
"0304b" 0.541105985641479 "data"
"0304b" 0.239137887954712 "data"
"0304b" 0.281366109848022 "data"
"0304b" 0.30649995803833 "data"
"0304b" 0.279974937438965 "data"
"0304b" 0.282876968383789 "data"
"0304b" 0.329018115997314 "data"
"0304b" 0.293818950653076 "data"
"0304b" 0.272733211517334 "data"
"0304b" 0.30662989616394 "data"
"0304b" 0.289151906967163 "data"
"0304b" 0.373118877410889 "data"
"0304b" 0.261093139648438 "data"
"0304b" 0.273247957229614 "data"
"0304b" 0.291827917098999 "data"
"0304b" 0.278832912445068 "data"
"0304b" 0.29197096824646 "data"
"0304b" 0.304368019104004 "data"
"0304b" 0.340620994567871 "data"
"0304b" 0.257344007492065 "data"
"0304b" 0.292485952377319 "data"
"0304b" 0.319972038269043 "data"
"0304b" 0.291642904281616 "data"
"0304b" 0.26426100730896 "data"
"0304b" 0.290124893188477 "data"
"0304b" 0.286559104919434 "data"
"0304b" 0.239372968673706 "data"
"0304b" 0.230798006057739 "data"
"0304b" 0.28784704208374 "data"
"0304b" 0.260217905044556 "data"
"0304b" 0.281396865844727 "data"
"0304b" 0.271923065185547 "data"
"0304b" 0.282339811325073 "data"
"0304b" 0.286421060562134 "data"
"0304b" 0.281491041183472 "data"
"0304b" 0.237888097763062 "data"
"0304b" 0.260159015655518 "data"
"0304b" 0.337929964065552 "data"
"0304b" 0.217957019805908 "data"
"0304b" 0.33769702911377 "data"
"0304b" 0.240447044372559 "data"
"0304b" 0.270899057388306 "data"
"0304b" 0.270740032196045 "data"
"0304b" 0.308089971542358 "data"
"0304b" 0.289232015609741 "data"
"0304b" 0.305383205413818 "data"
"0304b" 0.278865098953247 "data"
"0304b" 0.272694110870361 "data"
"0304b" 0.271651029586792 "data"
"0304b" 0.251364231109619 "data"
"0304b" 0.242942094802856 "data"
"0304b" 0.296818017959595 "data"
"0304b" 0.271527051925659 "data"
"0304b" 0.239305019378662 "data"
"0304b" 0.258486986160278 "data"
"0304b" 0.245281934738159 "data"
"0304b" 0.308894157409668 "data"
"0304b" 0.295370101928711 "data"
"0304b" 0.271256923675537 "data"
"0304b" 0.302465200424194 "data"
"0304b" 0.279689073562622 "data"
"0304b" 0.250971078872681 "data"
"0304b" 0.741894006729126 "data"
"0304b" 0.00768089294433594 "data"
"0304b" 0.238687992095947 "data"
"0304b" 0.261503934860229 "data"
"0304b" 0.313764810562134 "data"
"0304b" 0.25284218788147 "data"
"0304b" 0.250454902648926 "data"
"0304b" 0.25010085105896 "data"
"0304b" 0.278223991394043 "data"
"0304b" 0.27126407623291 "data"
"0304b" 0.323969841003418 "data"
"0304b" 0.305425882339478 "data"
"0304b" 0.282297134399414 "data"
"0304b" 0.244086027145386 "data"
"0304b" 0.249015092849731 "data"
"0304b" 0.330126047134399 "data"
"0304b" 0.263276100158691 "data"
"0304b" 0.23858904838562 "data"
"0304b" 0.26118803024292 "data"
"0304b" 0.254786014556885 "data"
"0304b" 0.220552921295166 "data"
"0304b" 0.243056058883667 "data"
"0304b" 0.254262924194336 "data"
"0304b" 0.291998863220215 "data"
"0304b" 0.220971822738647 "data"
"0304b" 0.270103931427002 "data"
"0304b" 0.269473075866699 "data"
"0304b" 0.260774850845337 "data"
"0304b" 0.141374111175537 "data"
"0304b" 0.26274299621582 "data"
"0304b" 0.578181028366089 "data"
"0304b" 0.00737214088439941 "data"
"0304b" 0.257050037384033 "data"
"0304b" 0.239970922470093 "data"
"0304b" 0.261903047561646 "data"
"0304b" 0.272433042526245 "data"
"0304b" 0.259300947189331 "data"
"0304b" 0.262253999710083 "data"
"0304b" 0.29587984085083 "data"
"0304b" 0.305160045623779 "data"
"0304b" 0.3143150806427 "data"
"0304b" 0.831554174423218 "data"
"0304b" 0.295129060745239 "data"
"0304b" 0.326658010482788 "data"
"0304b" 0.380237817764282 "data"
"0304b" 0.25572395324707 "data"
"0304b" 0.288619995117188 "data"
"0304b" 0.271359920501709 "data"
"0304b" 0.264116048812866 "data"
"0304b" 0.288563966751099 "data"
"0304b" 0.290961027145386 "data"
"0304b" 0.297000885009766 "data"
"0304b" 0.224567174911499 "data"
"0304b" 0.328541994094849 "data"
"0304b" 0.261466979980469 "data"
"0304b" 0.403416156768799 "data"
"0304b" 0.246646165847778 "data"
"0304b" 0.383111953735352 "data"
"0304b" 0.230409860610962 "data"
"0304b" 0.26198410987854 "data"
"0304b" 0.290343046188354 "data"
"0304b" 0.224649906158447 "data"
"0304b" 0.273386001586914 "data"
"0304b" 0.26137900352478 "data"
"0304b" 0.344348907470703 "data"
"0304b" 0.242259979248047 "data"
"0304b" 0.27187705039978 "data"
"0304b" 0.271126985549927 "data"
"0304b" 0.27336597442627 "data"
"0304b" 0.344016075134277 "data"
"0304b" 0.25042986869812 "data"
"0304b" 0.356788873672485 "data"
"0304b" 0.271603107452393 "data"
"0304b" 0.224027872085571 "data"
"0304b" 0.255941152572632 "data"
"0304b" 0.271914958953857 "data"
"0304b" 0.304295063018799 "data"
"0304b" 0.293859958648682 "data"
"0304b" 0.246979951858521 "data"
"0304b" 0.254552125930786 "data"
"0304b" 0.252848148345947 "data"
"0304b" 0.259656190872192 "data"
"0304b" 0.264960050582886 "data"
"0304b" 0.318057775497437 "data"
"0304b" 0.256677865982056 "data"
"0304b" 0.274566173553467 "data"
"0304b" 0.270512104034424 "data"
"0304b" 0.261378049850464 "data"
"0304b" 0.211411952972412 "data"
"0304b" 0.271581888198853 "data"
"0304b" 0.226203918457031 "data"
"0304b" 0.262284994125366 "data"
"0304b" 0.286300897598267 "data"
"0304b" 0.318020105361938 "data"
"0304b" 0.231451988220215 "data"
"0304b" 0.286129951477051 "data"
"0304b" 0.272857189178467 "data"
"0304b" 0.280434131622314 "data"
"0304b" 0.261228084564209 "data"
"0304b" 0.248519897460938 "data"
"0304b" 0.23907995223999 "data"
"0304b" 0.293975830078125 "data"
"0304b" 0.337227821350098 "data"
"0304b" 0.327543973922729 "data"
"0304b" 0.213352918624878 "data"
"0304b" 0.23737907409668 "data"
"0304b" 0.226967811584473 "data"
"0304b" 0.290536880493164 "data"
"0304b" 0.243590116500854 "data"
"0304b" 0.304138898849487 "data"
"0304b" 0.240036010742188 "data"
"0304b" 0.317249059677124 "data"
"0304b" 0.317312955856323 "data"
"0304b" 0.249984979629517 "data"
"0304b" 0.218393087387085 "data"
"0304b" 0.274863958358765 "data"
"0304b" 0.257446050643921 "data"
"0304b" 0.31955099105835 "data"
"0304b" 0.253158092498779 "data"
"0304b" 0.25593900680542 "data"
"0304b" 0.237982034683228 "data"
"0304b" 0.25908899307251 "data"
"0304b" 0.273130178451538 "data"
"0304b" 0.290894985198975 "data"
"0304b" 0.237355947494507 "data"
"0304b" 0.263969898223877 "data"
"0304b" 0.277163982391357 "data"
"0304b" 0.304487943649292 "data"
"0304b" 0.262270927429199 "data"
"1f330" 0.371198892593384 "data"
"1f330" 0.271571159362793 "data"
"1f330" 0.305546998977661 "data"
"1f330" 0.223469972610474 "data"
"1f330" 0.244827032089233 "data"
"1f330" 0.454755067825317 "data"
"1f330" 0.283041954040527 "data"
"1f330" 0.294867038726807 "data"
"1f330" 0.24551796913147 "data"
"1f330" 0.246925830841064 "data"
"1f330" 0.256830930709839 "data"
"1f330" 0.27068305015564 "data"
"1f330" 0.224307060241699 "data"
"1f330" 0.271200895309448 "data"
"1f330" 0.220433950424194 "data"
"1f330" 0.27341890335083 "data"
"1f330" 0.306386947631836 "data"
"1f330" 0.404973030090332 "data"
"1f330" 0.338020801544189 "data"
"1f330" 0.218123912811279 "data"
"1f330" 0.288201808929443 "data"
"1f330" 0.258473873138428 "data"
"1f330" 0.246133804321289 "data"
"1f330" 0.237594127655029 "data"
"1f330" 0.455480098724365 "data"
"1f330" 0.426251888275146 "data"
"1f330" 0.25964093208313 "data"
"1f330" 0.46230411529541 "data"
"1f330" 0.379963874816895 "data"
"1f330" 0.328460931777954 "data"
"1f330" 0.273117065429688 "data"
"1f330" 0.238229990005493 "data"
"1f330" 0.291786909103394 "data"
"1f330" 0.262602090835571 "data"
"1f330" 0.273092985153198 "data"
"1f330" 0.219929933547974 "data"
"1f330" 0.288846969604492 "data"
"1f330" 0.361196041107178 "data"
"1f330" 0.228667974472046 "data"
"1f330" 0.204588174819946 "data"
"1f330" 0.388276815414429 "data"
"1f330" 0.224861860275269 "data"
"1f330" 0.18337082862854 "data"
"1f330" 0.441677093505859 "data"
"1f330" 0.216730117797852 "data"
"1f330" 0.242099046707153 "data"
"1f330" 0.232659101486206 "data"
"1f330" 0.261564970016479 "data"
"1f330" 0.245718955993652 "data"
"1f330" 0.226741075515747 "data"
"1f330" 0.213069915771484 "data"
"1f330" 0.230953931808472 "data"
"1f330" 0.522958993911743 "data"
"1f330" 0.277273893356323 "data"
"1f330" 0.305269956588745 "data"
"1f330" 0.213871955871582 "data"
"1f330" 0.345670938491821 "data"
"1f330" 0.270637035369873 "data"
"1f330" 0.259565830230713 "data"
"1f330" 0.327448129653931 "data"
"1f330" 0.377387046813965 "data"
"1f330" 0.38804292678833 "data"
"1f330" 0.297600984573364 "data"
"1f330" 0.271661043167114 "data"
"1f330" 0.248089075088501 "data"
"1f330" 0.305276155471802 "data"
"1f330" 0.24531102180481 "data"
"1f330" 0.319937944412231 "data"
"1f330" 0.283183813095093 "data"
"1f330" 0.30425500869751 "data"
"1f330" 0.25660514831543 "data"
"1f330" 0.412312030792236 "data"
"1f330" 0.244548082351685 "data"
"1f330" 0.221687078475952 "data"
"1f330" 0.636468887329102 "data"
"1f330" 0.229506969451904 "data"
"1f330" 0.437721967697144 "data"
"1f330" 0.271833896636963 "data"
"1f330" 0.154335021972656 "data"
"1f330" 0.222434997558594 "data"
"1f330" 0.3489670753479 "data"
"1f330" 0.00737905502319336 "data"
"1f330" 0.271559000015259 "data"
"1f330" 0.388752937316895 "data"
"1f330" 0.370944976806641 "data"
"1f330" 0.347007989883423 "data"
"1f330" 0.249690055847168 "data"
"1f330" 0.318096160888672 "data"
"1f330" 0.769695997238159 "data"
"1f330" 0.257281064987183 "data"
"1f330" 0.296303033828735 "data"
"1f330" 0.223903894424438 "data"
"1f330" 0.238164901733398 "data"
"1f330" 0.214951992034912 "data"
"1f330" 0.241070985794067 "data"
"1f330" 0.215212106704712 "data"
"1f330" 0.371937990188599 "data"
"1f330" 0.568169116973877 "data"
"1f330" 0.322962999343872 "data"
"1f330" 0.256943941116333 "data"
"1f330" 0.228157043457031 "data"
"1f330" 0.139631032943726 "data"
"1f330" 0.292941808700562 "data"
"1f330" 0.288252115249634 "data"
"1f330" 0.322422027587891 "data"
"1f330" 0.371156930923462 "data"
"1f330" 0.437273025512695 "data"
"1f330" 0.0107190608978271 "data"
"1f330" 0.173550844192505 "data"
"1f330" 0.451001882553101 "data"
"1f330" 0.338037967681885 "data"
"1f330" 0.240102052688599 "data"
