"sid" "first.saccade.latency" "type" "N"
"06fbf" 0.340840728657485 "model-lat" 79
"06fbf" 0.332728143621593 "model-lat" 79
"06fbf" 0.49213949230409 "model-lat" 79
"06fbf" 0.299822344627593 "model-lat" 79
"06fbf" 0.324508958984968 "model-lat" 79
"06fbf" 0.426102870282749 "model-lat" 79
"06fbf" 0.396066774407722 "model-lat" 79
"06fbf" 0.469944273677085 "model-lat" 79
"06fbf" 0.311672911854406 "model-lat" 79
"06fbf" 0.381511385062651 "model-lat" 79
"06fbf" 0.309398473776074 "model-lat" 79
"06fbf" 0.454896640617218 "model-lat" 79
"06fbf" 0.420223416328546 "model-lat" 79
"06fbf" 0.397425023765493 "model-lat" 79
"06fbf" 0.488573394340694 "model-lat" 79
"06fbf" 0.441031424078418 "model-lat" 79
"06fbf" 0.467198454670491 "model-lat" 79
"06fbf" 0.388446720831041 "model-lat" 79
"06fbf" 0.32903776476922 "model-lat" 79
"06fbf" 0.354792926996607 "model-lat" 79
"06fbf" 0.339941930909517 "model-lat" 79
"06fbf" 0.362748698020692 "model-lat" 79
"06fbf" 0.472359834498323 "model-lat" 79
"06fbf" 0.374466076376846 "model-lat" 79
"06fbf" 0.462227905100617 "model-lat" 79
"06fbf" 0.380591471152265 "model-lat" 79
"06fbf" 0.286169698731623 "model-lat" 79
"06fbf" 0.448460145906139 "model-lat" 79
"06fbf" 0.323008285417384 "model-lat" 79
"06fbf" 0.393485639096339 "model-lat" 79
"06fbf" 0.391654257306117 "model-lat" 79
"06fbf" 0.441298320510023 "model-lat" 79
"06fbf" 0.334270673335054 "model-lat" 79
"06fbf" 0.345091153975617 "model-lat" 79
"06fbf" 0.343297495883243 "model-lat" 79
"06fbf" 0.487519109176955 "model-lat" 79
"06fbf" 0.435815940844324 "model-lat" 79
"06fbf" 0.469999384283048 "model-lat" 79
"06fbf" 0.432159842101952 "model-lat" 79
"06fbf" 0.360209503145879 "model-lat" 79
"06fbf" 0.416674754609895 "model-lat" 79
"06fbf" 0.481279318617492 "model-lat" 79
"06fbf" 0.44188689946555 "model-lat" 79
"06fbf" 0.468244603455409 "model-lat" 79
"06fbf" 0.311151082035739 "model-lat" 79
"06fbf" 0.403761149128585 "model-lat" 79
"06fbf" 0.37409308585942 "model-lat" 79
"06fbf" 0.333938621090939 "model-lat" 79
"06fbf" 0.485403646384908 "model-lat" 79
"06fbf" 0.331350531823319 "model-lat" 79
"06fbf" 0.42484882818648 "model-lat" 79
"06fbf" 0.464900352256284 "model-lat" 79
"06fbf" 0.334618504545544 "model-lat" 79
"06fbf" 0.393831301282835 "model-lat" 79
"06fbf" 0.44392755152405 "model-lat" 79
"06fbf" 0.411980871724212 "model-lat" 79
"06fbf" 0.391963963154615 "model-lat" 79
"06fbf" 0.421558365367389 "model-lat" 79
"06fbf" 0.330449265473082 "model-lat" 79
"06fbf" 0.379766335574199 "model-lat" 79
"06fbf" 0.340788306241999 "model-lat" 79
"06fbf" 0.332368909394163 "model-lat" 79
"06fbf" 0.327516064390586 "model-lat" 79
"06fbf" 0.439276466465301 "model-lat" 79
"06fbf" 0.350043455629749 "model-lat" 79
"06fbf" 0.374832727602382 "model-lat" 79
"06fbf" 0.466188551563481 "model-lat" 79
"06fbf" 0.444864245205294 "model-lat" 79
"06fbf" 0.472274799651774 "model-lat" 79
"06fbf" 0.498821434480541 "model-lat" 79
"06fbf" 0.340585189988543 "model-lat" 79
