"sid" "first.saccade.latency" "type" "N"
"0304b" 0.515706062316895 "data" 18
"0304b" 0.00716996192932129 "data" 18
"0304b" 0.305300951004028 "data" 18
"0304b" 0.228737831115723 "data" 18
"0304b" 0.223564147949219 "data" 18
"0304b" 0.29122519493103 "data" 18
"0304b" 0.274600982666016 "data" 18
"0304b" 0.519829034805298 "data" 18
"0304b" 0.517786026000977 "data" 18
"0304b" 0.342830896377563 "data" 18
"0304b" 0.357022047042847 "data" 18
"0304b" 0.231484889984131 "data" 18
"0304b" 0.386441946029663 "data" 18
"0304b" 0.635161876678467 "data" 18
"0304b" 0.208020925521851 "data" 18
"0304b" 0.280781984329224 "data" 18
"0304b" 0.12944507598877 "data" 18
"0304b" 0.241868019104004 "data" 18
"0304b" 0.00932293970018261 "model" 18
"0304b" 0.228951021747924 "model" 18
"0304b" 0.252970610223487 "model" 18
"0304b" 0.246173408801387 "model" 18
"0304b" 0.0287714219146962 "model" 18
"0304b" 0.407604691788407 "model" 18
"0304b" 0.401565754369407 "model" 18
"0304b" 0.612183138669004 "model" 18
"0304b" 0.284959482138998 "model" 18
"0304b" 0.711592932273863 "model" 18
"0304b" 0.0234136628066233 "model" 18
"0304b" 0.298448583122088 "model" 18
"0304b" 0.29486565330084 "model" 18
"0304b" 0.195895578979482 "model" 18
"0304b" 0.320058630059552 "model" 18
"0304b" 0.428277515082382 "model" 18
"0304b" 0.236736124678339 "model" 18
"0304b" 0.230926286130629 "model" 18
"0304b" 0.272080107122562 "model" 18
"0304b" 0.324961561388327 "model" 18
"0304b" 0.537361097708523 "model" 18
"0304b" 0.254723754303738 "model" 18
"0304b" 0.318475365178977 "model" 18
"0304b" 0.496427328338829 "model" 18
"0304b" 0.385303462790485 "model" 18
"0304b" 0.401218829950925 "model" 18
"0304b" 0.824961079983307 "model" 18
"0304b" 0.858275782161874 "model" 18
"0304b" 0.0168676486079613 "model" 18
"0304b" 0.212410414238765 "model" 18
"0304b" 0.233541144780187 "model" 18
"0304b" 0.478202241189488 "model" 18
"0304b" 0.0130100731128975 "model" 18
"0304b" 0.202820350568514 "model" 18
"0304b" 0.315662765824584 "model" 18
"0304b" 0.389040645848325 "model" 18
"0304b" 0.287196539182393 "model" 18
"0304b" 0.238412675340177 "model" 18
"0304b" 0.0303588020210105 "model" 18
"0304b" 0.54627429805428 "model" 18
"0304b" 0.30773116385679 "model" 18
"0304b" 0.372799495443795 "model" 18
"0304b" 0.3104805737695 "model" 18
"0304b" 0.230056501908183 "model" 18
"0304b" 0.276917988295125 "model" 18
"0304b" 0.235817670321931 "model" 18
"0304b" 0.238470678270071 "model" 18
"0304b" 0.35129131970259 "model" 18
"0304b" 0.349296065869118 "model" 18
"0304b" 0.452598189353334 "model" 18
"0304b" 0.367758589644428 "model" 18
"0304b" 0.243412462913009 "model" 18
"0304b" 0.276170844074753 "model" 18
"0304b" 1.37777462889926 "model" 18
"0304b" 0.291926042451868 "model" 18
"0304b" 0.0444355587106304 "model" 18
"0304b" 0.212826119364909 "model" 18
"0304b" 0.319062336225564 "model" 18
"0304b" 0.44237568818483 "model" 18
"0304b" 0.221564528004695 "model" 18
"0304b" 0.375642409435702 "model" 18
"0304b" 0.281686657537643 "model" 18
"0304b" 0.227518720997457 "model" 18
"0304b" 0.241431337556484 "model" 18
"0304b" 0.28707072305964 "model" 18
"0304b" 0.239536592552865 "model" 18
"0304b" 0.00796018738614124 "model" 18
"0304b" 0.266059116885303 "model" 18
"0304b" 0.266659003814365 "model" 18
"0304b" 0.487830165683621 "model" 18
"0304b" 0.507308416177959 "model" 18
"0304b" 0.455676026706106 "model" 18
"0304b" 0.271734029590261 "model" 18
"0304b" 0.226087122676453 "model" 18
"0304b" 0.505049028856524 "model" 18
"0304b" 0.256441858855255 "model" 18
"0304b" 0.209206094428514 "model" 18
"0304b" 0.204799962240748 "model" 18
"0304b" 0.230582361477278 "model" 18
"0304b" 0.30577938954587 "model" 18
"0304b" 0.36543944071863 "model" 18
"0304b" 0.63824269847092 "model" 18
"0304b" 0.327266287963297 "model" 18
"0304b" 0.288975968842055 "model" 18
"0304b" 0.402838730043155 "model" 18
"0304b" 0.250856268122987 "model" 18
"0304b" 0.34667791943059 "model" 18
"0304b" 0.461648436728244 "model" 18
"0304b" 0.44111478153613 "model" 18
"0304b" 0.269171023354597 "model" 18
"0304b" 0.424598266515253 "model" 18
"0304b" 0.214760412290723 "model" 18
"0304b" 0.309017588840675 "model" 18
"0304b" 0.387215022646825 "model" 18
"0304b" 0.623359331324723 "model" 18
"0304b" 0.520465564054285 "model" 18
"0304b" 0.232307781911299 "model" 18
"0304b" 0.259415796942716 "model" 18
"0304b" 0.30767032693106 "model" 18
"0304b" 0.39148337965704 "model" 18
"0304b" 0.232001657168785 "model" 18
"0304b" 0.321169964629044 "model" 18
"0304b" 0.308336726027568 "model" 18
"0304b" 0.237054512621695 "model" 18
"0304b" 0.220626288047419 "model" 18
"0304b" 0.472720832559951 "model" 18
"0304b" 0.214120391109862 "model" 18
"0304b" 0.20278267066201 "model" 18
"0304b" 0.270751540434372 "model" 18
"0304b" 0.277888002354017 "model" 18
"0304b" 0.370140733241423 "model" 18
"0304b" 0.33806691181726 "model" 18
"0304b" 0.37945316127745 "model" 18
"0304b" 0.404141286933441 "model" 18
"0304b" 0.209345800344022 "model" 18
"0304b" 0.275769417063448 "model" 18
"0304b" 0.360894646513209 "model" 18
"0304b" 0.375710843416036 "model" 18
"0304b" 0.385205856009872 "model" 18
"0304b" 0.256556233032571 "model" 18
"0304b" 0.304087657100474 "model" 18
"0304b" 0.3122763645124 "model" 18
"06fbf" 0.349243879318237 "data" 79
"06fbf" 0.316497087478638 "data" 79
"06fbf" 0.278776884078979 "data" 79
"06fbf" 0.471467018127441 "data" 79
"06fbf" 0.306697130203247 "data" 79
"06fbf" 0.310809850692749 "data" 79
"06fbf" 0.388633966445923 "data" 79
"06fbf" 0.310063123703003 "data" 79
"06fbf" 0.392344951629639 "data" 79
"06fbf" 0.428694009780884 "data" 79
"06fbf" 0.317753076553345 "data" 79
"06fbf" 0.392192125320435 "data" 79
"06fbf" 0.330479145050049 "data" 79
"06fbf" 0.484148979187012 "data" 79
"06fbf" 0.373529195785522 "data" 79
"06fbf" 0.36145806312561 "data" 79
"06fbf" 0.555745840072632 "data" 79
"06fbf" 0.390146970748901 "data" 79
"06fbf" 0.473795175552368 "data" 79
"06fbf" 0.370502948760986 "data" 79
"06fbf" 0.376070976257324 "data" 79
"06fbf" 0.372133016586304 "data" 79
"06fbf" 0.403423070907593 "data" 79
"06fbf" 0.384460926055908 "data" 79
"06fbf" 0.396780014038086 "data" 79
"06fbf" 0.392169952392578 "data" 79
"06fbf" 0.593378067016602 "data" 79
"06fbf" 0.358155012130737 "data" 79
"06fbf" 0.389621019363403 "data" 79
"06fbf" 0.373549938201904 "data" 79
"06fbf" 0.368482828140259 "data" 79
"06fbf" 0.255584001541138 "data" 79
