"sid" "alpha" "timer_states" "timer_mean" "labile_mean" "attn_mean" "gap_timer_rate" "cue_timer_rate" "lat_mean_anti" "amp_mean_anti" "rsp_mean_anti" "class"
"06fbf" 1 100 0.200000002980232 0.100000001490116 0.150000005960464 0.5 1 0.0939999967813492 0.84799998998642 1 1
"06fbf" 1 100 0.174999997019768 0.140000000596046 0.100000001490116 0.5 1.25 0.0979999974370003 0.84799998998642 1 1
"06fbf" 1 100 0.174999997019768 0.140000000596046 0.100000001490116 0.75 0.75 0.0979999974370003 0.84799998998642 1 1
"06fbf" 1 80 0.174999997019768 0.140000000596046 0.100000001490116 0.5 1.25 0.0979999974370003 0.84799998998642 1 1
"06fbf" 1 80 0.150000005960464 0.119999997317791 0.150000005960464 0.75 1.25 0.0989999994635582 0.84799998998642 1 1
"06fbf" 1 80 0.174999997019768 0.140000000596046 0.100000001490116 0.5 1.5 0.0979999974370003 0.84799998998642 1 1
"06fbf" 1 40 0.200000002980232 0.100000001490116 0.100000001490116 1 1.75 0.0860000029206276 0.84799998998642 1 3
"06fbf" 1 40 0.200000002980232 0.100000001490116 0.100000001490116 1.5 1.75 0.0979999974370003 0.84799998998642 1 3
"06fbf" 0.75 60 0.275000005960464 0.180000007152557 0.100000001490116 1 1.25 0.0939999967813492 0.84799998998642 0.607999980449677 4
"06fbf" 0.75 60 0.25 0.119999997317791 0.150000005960464 1.5 0.75 0.0869999974966049 0.84799998998642 0.667999982833862 4
"06fbf" 0.75 60 0.275000005960464 0.219999998807907 0.0500000007450581 1.25 1.5 0.096000000834465 0.83899998664856 0.843999981880188 4
"06fbf" 1 60 0.200000002980232 0.100000001490116 0.150000005960464 1.75 1.5 0.0989999994635582 0.84799998998642 1 4
"06fbf" 1 100 0.300000011920929 0.200000002980232 0.0500000007450581 1.75 1.25 0.0979999974370003 0.84799998998642 1 1
"06fbf" 1 40 0.174999997019768 0.119999997317791 0.150000005960464 1.5 1.25 0.090999998152256 0.84799998998642 1 3
"1f330" 0.75 100 0.224999994039536 0.0799999982118607 0.150000005960464 0.25 0.75 0.0759999975562096 0.967000007629395 0.435999989509583 1
"1f330" 0.75 100 0.224999994039536 0.159999996423721 0.0500000007450581 0.25 1 0.090999998152256 0.967000007629395 0.779999971389771 1
"1f330" 0.75 100 0.275000005960464 0.180000007152557 0.0500000007450581 0.75 1.5 0.0860000029206276 0.967000007629395 0.671999990940094 1
"1f330" 0.75 100 0.275000005960464 0.119999997317791 0.100000001490116 0.5 1 0.0820000022649765 0.967000007629395 0.596000015735626 1
"1f330" 0.75 100 0.200000002980232 0.119999997317791 0.100000001490116 0.25 0.75 0.0900000035762787 0.967000007629395 0.53600001335144 1
"1f330" 1 100 0.150000005960464 0.0799999982118607 0.150000005960464 1.25 0.75 0.0989999994635582 0.551999986171722 1 1
"1f330" 0.75 20 0.174999997019768 0.119999997317791 0.100000001490116 0.25 0.75 0.0740000009536743 0.959999978542328 0.587999999523163 2
"1f330" 0.75 20 0.300000011920929 0.0799999982118607 0.150000005960464 0.25 1.5 0.061999998986721 0.944000005722046 0.356000006198883 2
"1f330" 1 100 0.275000005960464 0.180000007152557 0.0500000007450581 1.75 1.75 0.0930000022053719 0.551999986171722 1 1
"1f330" 0.75 20 0.224999994039536 0.119999997317791 0.100000001490116 0.5 1 0.0939999967813492 0.967000007629395 0.472000002861023 2
"1f330" 0.75 20 0.200000002980232 0.140000000596046 0.100000001490116 0.5 1.5 0.0900000035762787 0.967000007629395 0.256000012159348 2
"1f330" 0.75 20 0.300000011920929 0.159999996423721 0.0500000007450581 0.5 1.5 0.0850000008940697 0.967000007629395 0.796000003814697 2
"1f330" 0.75 100 0.25 0.159999996423721 0.0500000007450581 0.5 1 0.0930000022053719 0.967000007629395 0.804000020027161 1
"1f330" 0.75 100 0.200000002980232 0.159999996423721 0.0500000007450581 0.25 1 0.096000000834465 0.961000025272369 0.703999996185303 1
"1f330" 0.75 20 0.150000005960464 0.119999997317791 0.100000001490116 0.25 1 0.0900000035762787 0.967000007629395 0.46000000834465 2
