"variable" "component" "type" "value" "sigma" "id" ".min" ".max" "low" "high"
"alpha" 1 "anti" 0.869918699285889 0.192190862157837 "anti1" 0 1 0.677727837128053 1
"alpha" 1 "pro" 0.390685892439595 0.260748025812797 "pro1" 0 1 0.129937866626798 0.651433918252392
"alpha" 2 "anti" 0.846301020408163 0.10612901837047 "anti2" 0 1 0.740172002037693 0.952430038778633
"alpha" 2 "pro" 0.403667481563515 1.04562601198985 "pro2" 0 1 0 1
"alpha" 3 "anti" 0.863576158940397 0.115652071788968 "anti3" 0 1 0.747924087151429 0.979228230729365
"alpha" 3 "pro" 0.409645669291339 0.254246577218685 "pro3" 0 1 0.155399092072654 0.663892246510023
"alpha" 4 "anti" 0.866083915894927 0.119958095967389 "anti4" 0 1 0.746125819927537 0.986042011862316
"alpha" 4 "pro" 0.399829497173276 0.254918045541349 "pro4" 0 1 0.144911451631927 0.654747542714624
"attn_mean" 1 "anti" 0.099186994539281 0.0922898779157803 "anti1" 0.0500000007450581 0.200000002980232 0.0500000007450581 0.191476872455061
"attn_mean" 1 "pro" 0.123850353520918 0.0567155357954664 "pro1" 0.0500000007450581 0.200000002980232 0.0671348177254517 0.180565889316385
"attn_mean" 2 "anti" 0.10854592129151 0.0389652220294642 "anti2" 0.0500000007450581 0.200000002980232 0.0695806992620456 0.147511143320974
"attn_mean" 2 "pro" 0.122224941619732 0.131816332560661 "pro2" 0.0500000007450581 0.200000002980232 0.0500000007450581 0.200000002980232
"attn_mean" 3 "anti" 0.102185433214863 0.037266928332157 "anti3" 0.0500000007450581 0.200000002980232 0.0649185048827064 0.13945236154702
"attn_mean" 3 "pro" 0.121653546005722 0.055323211794663 "pro3" 0.0500000007450581 0.200000002980232 0.0663303342110591 0.176976757800385
"attn_mean" 4 "anti" 0.0979720304036009 0.0365066868415946 "anti4" 0.0500000007450581 0.200000002980232 0.0614653435620063 0.134478717245195
"attn_mean" 4 "pro" 0.121653881690998 0.0555855578480598 "pro4" 0.0500000007450581 0.200000002980232 0.0660683238429384 0.177239439539058
"cue_timer_rate" 1 "anti" 1.02784552890568 0.51542646099308 "anti1" 0.25 1.75 0.512419067912603 1.54327198989876
"cue_timer_rate" 1 "pro" 1.47096648480125 0.243681184090654 "pro1" 0.25 1.75 1.22728530071059 1.7146476688919
"cue_timer_rate" 2 "anti" 1.18016581632653 0.315997325307442 "anti2" 0.25 1.75 0.864168491019089 1.49616314163397
"cue_timer_rate" 2 "pro" 1.51039119784315 0.308611863309053 "pro2" 0.25 1.75 1.2017793345341 1.75
"cue_timer_rate" 3 "anti" 1.10761589403974 0.31241900466633 "anti3" 0.25 1.75 0.795196889373405 1.42003489870607
"cue_timer_rate" 3 "pro" 1.47362204724409 0.241508831605384 "pro3" 0.25 1.75 1.23211321563871 1.71513087884948
"cue_timer_rate" 4 "anti" 1.07167832111902 0.327148438570106 "anti4" 0.25 1.75 0.744529882548912 1.39882675968912
"cue_timer_rate" 4 "pro" 1.47101449294321 0.229788688690395 "pro4" 0.25 1.75 1.24122580425281 1.7008031816336
"gap_timer_rate" 1 "anti" 1.05914634140251 1.38444687854065 "anti1" 0.25 1.75 0.25 1.75
"gap_timer_rate" 1 "pro" 1.04384255650818 1.35229974733264 "pro1" 0.25 1.75 0.25 1.75
"gap_timer_rate" 2 "anti" 1.03093112244898 1.34066614344456 "anti2" 0.25 1.75 0.25 1.75
"gap_timer_rate" 2 "pro" 1.03728606349721 1.16915391117042 "pro2" 0.25 1.75 0.25 1.75
"gap_timer_rate" 3 "anti" 1.04569536423841 1.3915433805653 "anti3" 0.25 1.75 0.25 1.75
"gap_timer_rate" 3 "pro" 1.06594488188976 1.34679904308937 "pro3" 0.25 1.75 0.25 1.75
"gap_timer_rate" 4 "anti" 1.05314685322213 1.40905424431507 "anti4" 0.25 1.75 0.25 1.75
"gap_timer_rate" 4 "pro" 1.06756180758144 1.33730220204964 "pro4" 0.25 1.75 0.25 1.75
"labile_mean" 1 "anti" 0.133105691009209 0.0790317045096828 "anti1" 0.0799999982118607 0.259999990463257 0.0799999982118607 0.212137395518891
"labile_mean" 1 "pro" 0.154263444761698 0.0242707307459376 "pro1" 0.0799999982118607 0.259999990463257 0.129992714015761 0.178534175507636
"labile_mean" 2 "anti" 0.126734693639208 0.0322994160212441 "anti2" 0.0799999982118607 0.259999990463257 0.0944352776179643 0.159034109660453
"labile_mean" 2 "pro" 0.149603910646351 0.0254118483873081 "pro2" 0.0799999982118607 0.259999990463257 0.124192062259043 0.175015759033659
"labile_mean" 3 "anti" 0.132450331283721 0.0332925657132449 "anti3" 0.0799999982118607 0.259999990463257 0.099157765570476 0.165742896996966
